INTERNAL EVENT. (LAMPORT_TIME=1, SYSTEM_TIME=2023-03-08 02:42:49.550490)
INTERNAL EVENT. (LAMPORT_TIME=2, SYSTEM_TIME=2023-03-08 02:42:49.646686)
INTERNAL EVENT. (LAMPORT_TIME=3, SYSTEM_TIME=2023-03-08 02:42:49.740937)
msg received (LAMPORT_TIME=5, SYSTEM_TIME=2023-03-08 02:42:49.840301) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=6, SYSTEM_TIME=2023-03-08 02:42:49.933429)
INTERNAL EVENT. (LAMPORT_TIME=7, SYSTEM_TIME=2023-03-08 02:42:50.029550)
msg received (LAMPORT_TIME=13, SYSTEM_TIME=2023-03-08 02:42:50.120771) msg_queue len: 0
msg received (LAMPORT_TIME=14, SYSTEM_TIME=2023-03-08 02:42:50.216811) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=15, SYSTEM_TIME=2023-03-08 02:42:50.313534)
msg received (LAMPORT_TIME=18, SYSTEM_TIME=2023-03-08 02:42:50.409384) msg_queue len: 0
msg received (LAMPORT_TIME=19, SYSTEM_TIME=2023-03-08 02:42:50.505490) msg_queue len: 0
msg received (LAMPORT_TIME=21, SYSTEM_TIME=2023-03-08 02:42:50.596973) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=23, SYSTEM_TIME=2023-03-08 02:42:50.787410)
INTERNAL EVENT. (LAMPORT_TIME=25, SYSTEM_TIME=2023-03-08 02:42:50.975105)
msg received (LAMPORT_TIME=29, SYSTEM_TIME=2023-03-08 02:42:51.068638) msg_queue len: 0
msg received (LAMPORT_TIME=30, SYSTEM_TIME=2023-03-08 02:42:51.159997) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=31, SYSTEM_TIME=2023-03-08 02:42:51.256093)
INTERNAL EVENT. (LAMPORT_TIME=32, SYSTEM_TIME=2023-03-08 02:42:51.352003)
msg received (LAMPORT_TIME=35, SYSTEM_TIME=2023-03-08 02:42:51.447335) msg_queue len: 1
msg received (LAMPORT_TIME=37, SYSTEM_TIME=2023-03-08 02:42:51.541080) msg_queue len: 1
msg received (LAMPORT_TIME=37, SYSTEM_TIME=2023-03-08 02:42:51.635603) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=38, SYSTEM_TIME=2023-03-08 02:42:51.728901)
msg received (LAMPORT_TIME=42, SYSTEM_TIME=2023-03-08 02:42:51.915139) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=43, SYSTEM_TIME=2023-03-08 02:42:52.010560)
msg received (LAMPORT_TIME=46, SYSTEM_TIME=2023-03-08 02:42:52.195117) msg_queue len: 1
msg received (LAMPORT_TIME=48, SYSTEM_TIME=2023-03-08 02:42:52.291840) msg_queue len: 0
msg received (LAMPORT_TIME=49, SYSTEM_TIME=2023-03-08 02:42:52.383444) msg_queue len: 0
msg received (LAMPORT_TIME=51, SYSTEM_TIME=2023-03-08 02:42:52.480220) msg_queue len: 0
msg received (LAMPORT_TIME=55, SYSTEM_TIME=2023-03-08 02:42:52.573274) msg_queue len: 1
msg received (LAMPORT_TIME=55, SYSTEM_TIME=2023-03-08 02:42:52.665498) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=56, SYSTEM_TIME=2023-03-08 02:42:52.761235)
INTERNAL EVENT. (LAMPORT_TIME=57, SYSTEM_TIME=2023-03-08 02:42:52.853782)
msg received (LAMPORT_TIME=61, SYSTEM_TIME=2023-03-08 02:42:52.949910) msg_queue len: 0
msg received (LAMPORT_TIME=64, SYSTEM_TIME=2023-03-08 02:42:53.045771) msg_queue len: 0
msg received (LAMPORT_TIME=66, SYSTEM_TIME=2023-03-08 02:42:53.140772) msg_queue len: 0
msg received (LAMPORT_TIME=66, SYSTEM_TIME=2023-03-08 02:42:53.233500) msg_queue len: 0
msg received (LAMPORT_TIME=66, SYSTEM_TIME=2023-03-08 02:42:53.329480) msg_queue len: 0
msg received (LAMPORT_TIME=71, SYSTEM_TIME=2023-03-08 02:42:53.422627) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=73, SYSTEM_TIME=2023-03-08 02:42:53.615033)
INTERNAL EVENT. (LAMPORT_TIME=76, SYSTEM_TIME=2023-03-08 02:42:53.902159)
INTERNAL EVENT. (LAMPORT_TIME=77, SYSTEM_TIME=2023-03-08 02:42:53.997023)
INTERNAL EVENT. (LAMPORT_TIME=79, SYSTEM_TIME=2023-03-08 02:42:54.188496)
msg received (LAMPORT_TIME=85, SYSTEM_TIME=2023-03-08 02:42:54.284683) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=88, SYSTEM_TIME=2023-03-08 02:42:54.569630)
INTERNAL EVENT. (LAMPORT_TIME=89, SYSTEM_TIME=2023-03-08 02:42:54.661103)
INTERNAL EVENT. (LAMPORT_TIME=90, SYSTEM_TIME=2023-03-08 02:42:54.754067)
INTERNAL EVENT. (LAMPORT_TIME=91, SYSTEM_TIME=2023-03-08 02:42:54.847533)
msg received (LAMPORT_TIME=97, SYSTEM_TIME=2023-03-08 02:42:54.942509) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=99, SYSTEM_TIME=2023-03-08 02:42:55.129389)
msg received (LAMPORT_TIME=99, SYSTEM_TIME=2023-03-08 02:42:55.225142) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=100, SYSTEM_TIME=2023-03-08 02:42:55.320224)
msg received (LAMPORT_TIME=106, SYSTEM_TIME=2023-03-08 02:42:55.416817) msg_queue len: 1
msg received (LAMPORT_TIME=106, SYSTEM_TIME=2023-03-08 02:42:55.518631) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=107, SYSTEM_TIME=2023-03-08 02:42:55.613398)
INTERNAL EVENT. (LAMPORT_TIME=108, SYSTEM_TIME=2023-03-08 02:42:55.707694)
msg received (LAMPORT_TIME=115, SYSTEM_TIME=2023-03-08 02:42:55.803873) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=116, SYSTEM_TIME=2023-03-08 02:42:55.896230)
INTERNAL EVENT. (LAMPORT_TIME=117, SYSTEM_TIME=2023-03-08 02:42:55.992490)
INTERNAL EVENT. (LAMPORT_TIME=118, SYSTEM_TIME=2023-03-08 02:42:56.088189)
INTERNAL EVENT. (LAMPORT_TIME=119, SYSTEM_TIME=2023-03-08 02:42:56.180888)
INTERNAL EVENT. (LAMPORT_TIME=120, SYSTEM_TIME=2023-03-08 02:42:56.277278)
msg received (LAMPORT_TIME=127, SYSTEM_TIME=2023-03-08 02:42:56.373683) msg_queue len: 0
INTERNAL EVENT. (LAMPORT_TIME=128, SYSTEM_TIME=2023-03-08 02:42:56.466714)
msg received (LAMPORT_TIME=130, SYSTEM_TIME=2023-03-08 02:42:56.559835) msg_queue len: 0
msg received (LAMPORT_TIME=134, SYSTEM_TIME=2023-03-08 02:42:56.751873) msg_queue len: 0
